Date,Value Date,Instrument No.,Particulars,Debit,Credit,Balance
17 Jan 2025,17 Jan 2025,506511 398456,Raast IBFT to OMAR ZAMAN,8114.98,0.0,255554.66
18 Jan 2025,18 Jan 2025,,Raast IBFT to OMAR ZAMAN,14659.07,9699.18,264339.72
19 Jan 2025,19 Jan 2025,,INET Inter Bank Fund Transfer Charges,15146.04,4758.97,283904.72
20 Jan 2025,20 Jan 2025,,Raast IBFT to OMAR ZAMAN,14336.44,14783.7,440441.86
21 Jan 2025,21 Jan 2025,,Mobile App MARYAM BEGUM,3107.37,24633.14,314878.23
22 Jan 2025,22 Jan 2025,,INET Inter Bank Fund Transfer Charges,24875.22,13815.43,459512.2
23 Jan 2025,23 Jan 2025,230055 149303,Raast IBFT to OMAR ZAMAN,20463.02,0.0,235545.62
24 Jan 2025,24 Jan 2025,855097 896398,Raast IBFT to OMAR ZAMAN,18742.98,22051.74,466598.4
25 Jan 2025,25 Jan 2025,,INET Inter Bank Fund Transfer Charges,6535.2,18569.48,424925.81
26 Jan 2025,26 Jan 2025,,INET Inter Bank Fund Transfer Charges,7997.85,0.0,309830.34
27 Jan 2025,27 Jan 2025,351149 805099,INET Inter Bank Fund Transfer Charges,1416.4,0.0,338399.72
28 Jan 2025,28 Jan 2025,721372 763014,INET Inter Bank Fund Transfer Charges,4493.23,0.0,257368.33
29 Jan 2025,29 Jan 2025,433016 975334,Raast IBFT to OMAR ZAMAN,2388.53,17772.42,435710.7
30 Jan 2025,30 Jan 2025,404201 359734,INET Inter Bank Fund Transfer Charges,14724.46,6490.46,449384.22
31 Jan 2025,31 Jan 2025,,INET Inter Bank Fund Transfer Charges,7934.3,15030.77,463310.63
01 Feb 2025,01 Feb 2025,564084 270463,Mobile App MARYAM BEGUM,9077.93,17249.68,299405.47
02 Feb 2025,02 Feb 2025,,INET Inter Bank Fund Transfer Charges,6069.74,23658.64,211201.16
03 Feb 2025,03 Feb 2025,,Raast IBFT to OMAR ZAMAN,6578.49,2137.23,300580.76
04 Feb 2025,04 Feb 2025,485076 182167,Raast IBFT to IQRA PARVEEN,19901.34,0.0,100494.44
05 Feb 2025,05 Feb 2025,565745 656255,Raast IBFT to IQRA PARVEEN,2442.37,0.0,353109.89
06 Feb 2025,06 Feb 2025,,Mobile App MARYAM BEGUM,20424.17,5136.65,121117.32
07 Feb 2025,07 Feb 2025,,Mobile App MARYAM BEGUM,3750.5,0.0,160273.38
08 Feb 2025,08 Feb 2025,649176 401387,Mobile App MARYAM BEGUM,9045.73,5224.5,284105.95
