Date,Value Date,Instrument No.,Particulars,Debit,Credit,Balance
20 Dec 2024,20 Dec 2024,066848,Mobile App MARYAM BEGUM,5563.04,2838.68,253618.2
04 Dec 2024,04 Dec 2024,,Mobile App MARYAM BEGUM,9445.44,23782.31,197191.08
04 Nov 2024,04 Nov 2024,823239,Raast IBFT to OMAR ZAMAN,10423.5,12077.36,210741.51
25 Dec 2024,25 Dec 2024,340172,INET Inter Bank Fund Transfer Charges,13452.68,14903.1,395690.85
16 Jan 2025,16 Jan 2025,303110,Raast IBFT to IQRA PARVEEN,3118.82,17333.87,73701.2
10 Nov 2024,10 Nov 2024,901555,Mobile App MARYAM BEGUM,19556.7,13864.42,387236.71
10 Nov 2024,10 Nov 2024,534698,Raast IBFT to IQRA PARVEEN,5232.24,18445.46,136150.15
03 Nov 2024,03 Nov 2024,,Raast IBFT to OMAR ZAMAN,16813.09,5370.18,487030.33
02 Dec 2024,02 Dec 2024,,Mobile App MARYAM BEGUM,10690.47,18552.13,361280.32
14 Dec 2024,14 Dec 2024,,INET Inter Bank Fund Transfer Charges,21130.84,13211.92,46619.81
05 Jan 2025,05 Jan 2025,486161,Raast IBFT to IQRA PARVEEN,17934.44,15570.54,407283.43
04 Jan 2025,04 Jan 2025,,Raast IBFT to IQRA PARVEEN,12381.39,1195.82,372639.86
20 Dec 2024,20 Dec 2024,235716,Raast IBFT to IQRA PARVEEN,21610.34,22180.81,387295.49
10 Nov 2024,10 Nov 2024,813110,Raast IBFT to IQRA PARVEEN,14168.03,15465.45,252049.76
29 Dec 2024,29 Dec 2024,,Mobile App MARYAM BEGUM,8747.21,22751.24,143768.66
20 Jan 2025,20 Jan 2025,526939,INET Inter Bank Fund Transfer Charges,20773.82,17224.7,220461.53
04 Feb 2025,04 Feb 2025,566062,INET Inter Bank Fund Transfer Charges,5841.26,6851.08,310705.13
18 Dec 2024,18 Dec 2024,,Raast IBFT to IQRA PARVEEN,12817.7,3081.52,136275.18
09 Jan 2025,09 Jan 2025,984227,INET Inter Bank Fund Transfer Charges,13393.36,12111.42,72716.78
15 Dec 2024,15 Dec 2024,932194,INET Inter Bank Fund Transfer Charges,1786.43,21691.99,291205.9
02 Dec 2024,02 Dec 2024,413113,Raast IBFT to OMAR ZAMAN,21532.9,3155.83,291456.76
18 Dec 2024,18 Dec 2024,,Raast IBFT to IQRA PARVEEN,12376.61,3910.38,417895.14
14 Dec 2024,14 Dec 2024,,INET Inter Bank Fund Transfer Charges,24063.65,17695.71,394486.39
19 Dec 2024,19 Dec 2024,155674,Raast IBFT to OMAR ZAMAN,23484.99,21181.16,237870.88
16 Dec 2024,16 Dec 2024,,Raast IBFT to OMAR ZAMAN,22851.54,12636.0,263331.56
21 Nov 2024,21 Nov 2024,948278,Mobile App MARYAM BEGUM,7011.86,21371.27,37659.63
01 Dec 2024,01 Dec 2024,416907,INET Inter Bank Fund Transfer Charges,23506.32,18262.72,127072.12
25 Jan 2025,25 Jan 2025,841669,Raast IBFT to IQRA PARVEEN,21392.8,10986.95,354066.01
23 Nov 2024,23 Nov 2024,,INET Inter Bank Fund Transfer Charges,9919.71,8008.11,73902.3
03 Dec 2024,03 Dec 2024,,Mobile App MARYAM BEGUM,5611.17,13433.56,127408.06
19 Nov 2024,19 Nov 2024,905114,Mobile App MARYAM BEGUM,19493.91,8036.98,286065.59
26 Nov 2024,26 Nov 2024,,INET Inter Bank Fund Transfer Charges,13282.53,4651.62,131703.39
08 Dec 2024,08 Dec 2024,561712,Raast IBFT to IQRA PARVEEN,8085.38,7520.55,146740.71
05 Jan 2025,05 Jan 2025,567713,Raast IBFT to OMAR ZAMAN,18264.45,8300.73,403129.96
25 Nov 2024,25 Nov 2024,,Raast IBFT to OMAR ZAMAN,2989.13,16159.13,223573.1
07 Nov 2024,07 Nov 2024,960886,Raast IBFT to OMAR ZAMAN,6409.37,2737.27,494714.43
06 Feb 2025,06 Feb 2025,,INET Inter Bank Fund Transfer Charges,23045.06,7669.47,322392.36
03 Feb 2025,03 Feb 2025,,INET Inter Bank Fund Transfer Charges,5925.52,23088.38,372929.63
01 Nov 2024,01 Nov 2024,,Mobile App MARYAM BEGUM,1895.05,2678.81,116431.38
07 Nov 2024,07 Nov 2024,938368,Raast IBFT to IQRA PARVEEN,4377.88,23502.01,16090.31
20 Nov 2024,20 Nov 2024,,Raast IBFT to OMAR ZAMAN,19881.92,445.96,270653.21
14 Jan 2025,14 Jan 2025,613368,Raast IBFT to OMAR ZAMAN,9239.51,6782.46,182400.26
01 Nov 2024,01 Nov 2024,,INET Inter Bank Fund Transfer Charges,24643.78,14445.72,310938.57
03 Dec 2024,03 Dec 2024,,INET Inter Bank Fund Transfer Charges,12917.58,10595.18,325489.17
31 Dec 2024,31 Dec 2024,404836,Raast IBFT to IQRA PARVEEN,15666.53,20037.05,476512.64
12 Dec 2024,12 Dec 2024,,Raast IBFT to OMAR ZAMAN,17677.61,7110.73,52148.73
25 Dec 2024,25 Dec 2024,,INET Inter Bank Fund Transfer Charges,22282.06,12067.01,193716.73
28 Jan 2025,28 Jan 2025,498701,Raast IBFT to IQRA PARVEEN,11657.74,283.44,422518.51
17 Jan 2025,17 Jan 2025,922264,Mobile App MARYAM BEGUM,24698.1,6547.32,80714.38
08 Dec 2024,08 Dec 2024,,INET Inter Bank Fund Transfer Charges,3816.09,15323.89,216595.66
18 Dec 2024,18 Dec 2024,,Raast IBFT to IQRA PARVEEN,13990.34,11470.62,85570.94
28 Nov 2024,28 Nov 2024,218454,Raast IBFT to OMAR ZAMAN,8493.23,5918.03,83635.96
07 Feb 2025,07 Feb 2025,,Raast IBFT to IQRA PARVEEN,15445.38,21975.05,420594.61
19 Jan 2025,19 Jan 2025,,Raast IBFT to IQRA PARVEEN,16239.46,19096.09,402742.06
19 Dec 2024,19 Dec 2024,,Raast IBFT to IQRA PARVEEN,13157.41,17873.77,383445.39
08 Jan 2025,08 Jan 2025,,Mobile App MARYAM BEGUM,4732.59,15827.79,235890.94
28 Dec 2024,28 Dec 2024,910120,INET Inter Bank Fund Transfer Charges,1600.43,16284.69,17546.38
02 Nov 2024,02 Nov 2024,377498,Mobile App MARYAM BEGUM,18979.08,8563.45,82920.43
10 Nov 2024,10 Nov 2024,,Raast IBFT to OMAR ZAMAN,8581.28,15529.65,359177.06
31 Jan 2025,31 Jan 2025,,INET Inter Bank Fund Transfer Charges,5221.41,18663.5,187592.5
03 Jan 2025,03 Jan 2025,,INET Inter Bank Fund Transfer Charges,12380.82,22860.83,209854.3
19 Nov 2024,19 Nov 2024,,Raast IBFT to OMAR ZAMAN,6709.2,9958.86,174507.79
29 Jan 2025,29 Jan 2025,748185,Raast IBFT to IQRA PARVEEN,7446.79,10206.8,102792.66
28 Nov 2024,28 Nov 2024,432408,INET Inter Bank Fund Transfer Charges,7072.37,18010.39,246640.2
15 Jan 2025,15 Jan 2025,,INET Inter Bank Fund Transfer Charges,11049.22,9900.45,311649.29
27 Nov 2024,27 Nov 2024,,Raast IBFT to OMAR ZAMAN,9553.93,6988.73,189146.91
30 Nov 2024,30 Nov 2024,,Raast IBFT to OMAR ZAMAN,2020.54,13372.02,58850.29
25 Jan 2025,25 Jan 2025,,INET Inter Bank Fund Transfer Charges,19466.82,1605.26,498374.39
17 Nov 2024,17 Nov 2024,022812,Raast IBFT to IQRA PARVEEN,15895.01,775.45,23337.1
23 Jan 2025,23 Jan 2025,792091,Mobile App MARYAM BEGUM,2696.71,6646.1,471207.83
25 Jan 2025,25 Jan 2025,,Raast IBFT to IQRA PARVEEN,5576.29,14025.22,299740.37
09 Feb 2025,09 Feb 2025,299562,INET Inter Bank Fund Transfer Charges,10900.3,14827.33,393885.65
23 Nov 2024,23 Nov 2024,,Raast IBFT to OMAR ZAMAN,9293.8,9989.21,275525.01
24 Nov 2024,24 Nov 2024,200181,Raast IBFT to IQRA PARVEEN,6053.62,16542.94,471769.25
11 Jan 2025,11 Jan 2025,,Mobile App MARYAM BEGUM,17049.59,8358.04,489711.92
22 Jan 2025,22 Jan 2025,796076,Mobile App MARYAM BEGUM,22536.52,4156.97,55941.09
22 Nov 2024,22 Nov 2024,428119,Mobile App MARYAM BEGUM,16213.23,10191.47,356540.94
15 Nov 2024,15 Nov 2024,396767,Raast IBFT to IQRA PARVEEN,6227.66,1733.32,306199.74
05 Jan 2025,05 Jan 2025,531146,Raast IBFT to OMAR ZAMAN,4896.04,11905.55,480689.83
27 Nov 2024,27 Nov 2024,664331,INET Inter Bank Fund Transfer Charges,7593.39,19055.66,280499.88
02 Dec 2024,02 Dec 2024,,Mobile App MARYAM BEGUM,5931.16,86.06,116696.16
06 Feb 2025,06 Feb 2025,,Mobile App MARYAM BEGUM,24399.76,12511.86,39389.91
19 Nov 2024,19 Nov 2024,821844,INET Inter Bank Fund Transfer Charges,2500.79,2306.55,426999.74
20 Nov 2024,20 Nov 2024,191053,Raast IBFT to IQRA PARVEEN,13104.26,16228.0,65669.64
10 Nov 2024,10 Nov 2024,,INET Inter Bank Fund Transfer Charges,4335.56,8293.22,292440.57
05 Jan 2025,05 Jan 2025,,INET Inter Bank Fund Transfer Charges,8645.37,17777.72,415375.76
11 Jan 2025,11 Jan 2025,789355,Raast IBFT to IQRA PARVEEN,21095.12,2408.52,170960.35
22 Dec 2024,22 Dec 2024,,Mobile App MARYAM BEGUM,3552.75,17839.07,139615.14
16 Dec 2024,16 Dec 2024,,Raast IBFT to IQRA PARVEEN,21570.79,18154.97,204806.25
17 Nov 2024,17 Nov 2024,,INET Inter Bank Fund Transfer Charges,14703.73,10131.31,195040.34
26 Dec 2024,26 Dec 2024,,INET Inter Bank Fund Transfer Charges,3455.67,2884.38,254050.44
03 Nov 2024,03 Nov 2024,,Mobile App MARYAM BEGUM,18180.55,14157.13,349929.31
17 Nov 2024,17 Nov 2024,169726,Raast IBFT to IQRA PARVEEN,15448.65,11162.4,28431.24
12 Nov 2024,12 Nov 2024,159044,Raast IBFT to IQRA PARVEEN,7209.5,8400.68,167903.81
26 Dec 2024,26 Dec 2024,177445,INET Inter Bank Fund Transfer Charges,8306.18,6985.23,148021.43
04 Jan 2025,04 Jan 2025,,Raast IBFT to OMAR ZAMAN,17392.98,16129.6,170661.55
11 Jan 2025,11 Jan 2025,706562,Mobile App MARYAM BEGUM,19406.08,9909.04,76662.87
15 Nov 2024,15 Nov 2024,,Raast IBFT to IQRA PARVEEN,22963.19,15834.71,293281.34
06 Dec 2024,06 Dec 2024,,Raast IBFT to IQRA PARVEEN,22526.44,549.95,382570.53
07 Dec 2024,07 Dec 2024,,INET Inter Bank Fund Transfer Charges,16670.23,1063.51,249850.88
28 Nov 2024,28 Nov 2024,,Raast IBFT to OMAR ZAMAN,8907.5,19384.86,242872.33
20 Jan 2025,20 Jan 2025,508259,Raast IBFT to IQRA PARVEEN,11049.85,20149.27,442640.17
12 Nov 2024,12 Nov 2024,,Raast IBFT to IQRA PARVEEN,8081.16,22251.14,495239.19
15 Jan 2025,15 Jan 2025,939265,Raast IBFT to IQRA PARVEEN,24945.42,2603.56,352266.72
04 Jan 2025,04 Jan 2025,,INET Inter Bank Fund Transfer Charges,5155.66,20640.11,36363.72
30 Nov 2024,30 Nov 2024,,INET Inter Bank Fund Transfer Charges,8868.75,1818.33,454041.87
10 Jan 2025,10 Jan 2025,,Raast IBFT to IQRA PARVEEN,3042.96,2129.2,305087.01
17 Dec 2024,17 Dec 2024,787945,INET Inter Bank Fund Transfer Charges,5013.43,869.96,478974.53
27 Jan 2025,27 Jan 2025,902782,Raast IBFT to IQRA PARVEEN,5164.53,22235.74,167351.95
22 Nov 2024,22 Nov 2024,828688,Raast IBFT to OMAR ZAMAN,12146.45,20492.78,237726.95
28 Nov 2024,28 Nov 2024,865181,Raast IBFT to OMAR ZAMAN,10415.61,12708.44,275395.0
26 Jan 2025,26 Jan 2025,,Raast IBFT to OMAR ZAMAN,5822.04,17515.25,314190.4
28 Jan 2025,28 Jan 2025,702600,Mobile App MARYAM BEGUM,14284.99,16240.94,497360.69
28 Nov 2024,28 Nov 2024,523959,Raast IBFT to IQRA PARVEEN,5246.23,1162.45,427698.75
04 Nov 2024,04 Nov 2024,731781,Raast IBFT to IQRA PARVEEN,24531.26,10470.09,449019.35
30 Jan 2025,30 Jan 2025,,Raast IBFT to OMAR ZAMAN,20379.59,7417.39,171362.44
18 Jan 2025,18 Jan 2025,,Raast IBFT to IQRA PARVEEN,1513.3,14273.02,75915.4
25 Jan 2025,25 Jan 2025,393649,INET Inter Bank Fund Transfer Charges,5268.46,7185.3,111975.09
26 Dec 2024,26 Dec 2024,224669,Raast IBFT to OMAR ZAMAN,10113.48,4918.69,402738.22
22 Nov 2024,22 Nov 2024,430244,Raast IBFT to IQRA PARVEEN,17694.8,14363.75,63191.67
08 Feb 2025,08 Feb 2025,071149,INET Inter Bank Fund Transfer Charges,12997.64,7415.61,103597.14
13 Dec 2024,13 Dec 2024,060779,Raast IBFT to IQRA PARVEEN,3349.06,5890.9,162029.9
14 Nov 2024,14 Nov 2024,780989,Raast IBFT to OMAR ZAMAN,5261.13,16525.04,338317.81
04 Nov 2024,04 Nov 2024,876191,INET Inter Bank Fund Transfer Charges,17519.13,15942.37,206564.97
23 Nov 2024,23 Nov 2024,919660,Mobile App MARYAM BEGUM,15958.08,9114.11,378194.0
01 Nov 2024,01 Nov 2024,,Raast IBFT to IQRA PARVEEN,14977.99,6762.09,320994.68
28 Nov 2024,28 Nov 2024,,Mobile App MARYAM BEGUM,17075.33,14634.95,68094.61
15 Jan 2025,15 Jan 2025,,Raast IBFT to IQRA PARVEEN,16227.47,20185.63,345549.39
08 Dec 2024,08 Dec 2024,395849,INET Inter Bank Fund Transfer Charges,12195.95,14549.51,247061.71
23 Jan 2025,23 Jan 2025,,INET Inter Bank Fund Transfer Charges,4871.13,13324.76,196099.37
05 Jan 2025,05 Jan 2025,841574,INET Inter Bank Fund Transfer Charges,18236.97,22656.99,394476.3
16 Dec 2024,16 Dec 2024,006688,Raast IBFT to OMAR ZAMAN,9870.43,16629.78,404317.54
22 Nov 2024,22 Nov 2024,519733,INET Inter Bank Fund Transfer Charges,7804.91,1816.38,240009.54
25 Dec 2024,25 Dec 2024,742081,INET Inter Bank Fund Transfer Charges,1217.65,5875.12,356810.25
02 Feb 2025,02 Feb 2025,082435,Raast IBFT to IQRA PARVEEN,12219.31,5035.97,424461.32
09 Feb 2025,09 Feb 2025,746669,Raast IBFT to IQRA PARVEEN,13336.3,8023.34,107375.95
25 Dec 2024,25 Dec 2024,,Mobile App MARYAM BEGUM,5202.43,12173.22,125065.77
20 Jan 2025,20 Jan 2025,748521,Mobile App MARYAM BEGUM,19156.72,5730.37,92132.38
03 Nov 2024,03 Nov 2024,,INET Inter Bank Fund Transfer Charges,11997.51,9106.23,399768.62
24 Nov 2024,24 Nov 2024,,Raast IBFT to OMAR ZAMAN,3274.67,17147.26,480865.3
26 Dec 2024,26 Dec 2024,318365,INET Inter Bank Fund Transfer Charges,23699.4,17284.78,130218.27
05 Feb 2025,05 Feb 2025,,INET Inter Bank Fund Transfer Charges,14225.26,2278.54,282793.62
10 Nov 2024,10 Nov 2024,832625,INET Inter Bank Fund Transfer Charges,24397.09,14207.42,17616.04
12 Jan 2025,12 Jan 2025,,Mobile App MARYAM BEGUM,2073.95,23168.27,217916.25
28 Jan 2025,28 Jan 2025,,Raast IBFT to IQRA PARVEEN,4048.67,23257.99,271144.18
06 Feb 2025,06 Feb 2025,,INET Inter Bank Fund Transfer Charges,17649.64,1394.28,434710.2
30 Dec 2024,30 Dec 2024,,Raast IBFT to IQRA PARVEEN,4912.88,9915.93,96149.68
22 Nov 2024,22 Nov 2024,,Raast IBFT to OMAR ZAMAN,15144.38,89.94,343376.55
22 Jan 2025,22 Jan 2025,,Raast IBFT to IQRA PARVEEN,22533.47,5627.79,229820.53
07 Nov 2024,07 Nov 2024,,Raast IBFT to OMAR ZAMAN,14318.41,5092.08,57723.07
30 Nov 2024,30 Nov 2024,,Raast IBFT to IQRA PARVEEN,23412.02,2824.47,393937.34
14 Jan 2025,14 Jan 2025,213657,Raast IBFT to IQRA PARVEEN,1151.89,17270.56,439391.05
28 Nov 2024,28 Nov 2024,,INET Inter Bank Fund Transfer Charges,19635.13,14071.73,97789.88
29 Nov 2024,29 Nov 2024,,Raast IBFT to OMAR ZAMAN,9707.72,17648.46,248384.87
01 Nov 2024,01 Nov 2024,,Mobile App MARYAM BEGUM,2945.97,12947.75,133237.59
20 Nov 2024,20 Nov 2024,809697,Raast IBFT to OMAR ZAMAN,18695.27,22270.85,130339.77
22 Nov 2024,22 Nov 2024,,Raast IBFT to IQRA PARVEEN,23606.43,11528.53,127476.65
11 Nov 2024,11 Nov 2024,,INET Inter Bank Fund Transfer Charges,24253.11,7184.18,360234.42
06 Nov 2024,06 Nov 2024,652252,Raast IBFT to IQRA PARVEEN,19058.66,11376.25,446152.95
07 Jan 2025,07 Jan 2025,,INET Inter Bank Fund Transfer Charges,6546.24,19567.17,186354.23
26 Dec 2024,26 Dec 2024,477382,Raast IBFT to IQRA PARVEEN,6284.51,24310.15,172745.47
29 Jan 2025,29 Jan 2025,,Raast IBFT to IQRA PARVEEN,20393.06,6170.25,49227.04
30 Nov 2024,30 Nov 2024,,Raast IBFT to IQRA PARVEEN,8297.65,7096.9,94836.6
24 Dec 2024,24 Dec 2024,037606,Raast IBFT to OMAR ZAMAN,23344.09,7370.08,346010.6
25 Jan 2025,25 Jan 2025,,Raast IBFT to OMAR ZAMAN,18789.03,13475.83,466931.96
18 Nov 2024,18 Nov 2024,071324,Mobile App MARYAM BEGUM,12501.53,20344.55,13329.68
07 Dec 2024,07 Dec 2024,,Raast IBFT to OMAR ZAMAN,24947.35,20330.98,245748.59
04 Feb 2025,04 Feb 2025,,Raast IBFT to OMAR ZAMAN,3037.52,17354.16,79968.52
24 Jan 2025,24 Jan 2025,066342,Raast IBFT to OMAR ZAMAN,6565.03,15491.53,70041.33
16 Dec 2024,16 Dec 2024,,Mobile App MARYAM BEGUM,11517.17,2899.68,282155.49
08 Feb 2025,08 Feb 2025,,Raast IBFT to OMAR ZAMAN,5312.7,17531.61,322405.73
15 Nov 2024,15 Nov 2024,450012,INET Inter Bank Fund Transfer Charges,4132.1,16902.96,467988.46
07 Dec 2024,07 Dec 2024,,Mobile App MARYAM BEGUM,8221.69,22996.22,266644.74
21 Nov 2024,21 Nov 2024,080257,INET Inter Bank Fund Transfer Charges,14891.64,2582.01,69534.47
05 Jan 2025,05 Jan 2025,066501,Raast IBFT to OMAR ZAMAN,5368.18,13360.64,285742.02
07 Dec 2024,07 Dec 2024,571064,Mobile App MARYAM BEGUM,22085.59,12963.9,412120.37
27 Nov 2024,27 Nov 2024,,Raast IBFT to IQRA PARVEEN,2134.94,23151.28,175900.52
22 Nov 2024,22 Nov 2024,337437,Mobile App MARYAM BEGUM,20067.59,8002.28,279754.86
08 Jan 2025,08 Jan 2025,609080,INET Inter Bank Fund Transfer Charges,6110.15,24392.98,240770.15
28 Jan 2025,28 Jan 2025,,INET Inter Bank Fund Transfer Charges,16997.03,8632.17,128376.36
18 Dec 2024,18 Dec 2024,,Raast IBFT to IQRA PARVEEN,12364.79,10955.9,154471.39
18 Dec 2024,18 Dec 2024,,Mobile App MARYAM BEGUM,19658.72,24710.86,237137.52
08 Feb 2025,08 Feb 2025,,Mobile App MARYAM BEGUM,17087.82,19133.08,189809.94
07 Feb 2025,07 Feb 2025,,Raast IBFT to OMAR ZAMAN,12507.44,14522.4,187765.59
19 Dec 2024,19 Dec 2024,859404,INET Inter Bank Fund Transfer Charges,3542.66,6697.79,307240.78
18 Jan 2025,18 Jan 2025,146941,Raast IBFT to IQRA PARVEEN,7676.45,1182.25,29796.4
19 Jan 2025,19 Jan 2025,182504,Mobile App MARYAM BEGUM,11063.66,12830.74,236723.71
11 Jan 2025,11 Jan 2025,,INET Inter Bank Fund Transfer Charges,24985.35,22655.42,275476.68
28 Dec 2024,28 Dec 2024,,INET Inter Bank Fund Transfer Charges,10869.53,8512.25,205423.97
29 Jan 2025,29 Jan 2025,,Raast IBFT to OMAR ZAMAN,21381.96,9534.16,215563.45
08 Jan 2025,08 Jan 2025,444022,Mobile App MARYAM BEGUM,8124.49,4026.3,128038.24
21 Dec 2024,21 Dec 2024,,Raast IBFT to IQRA PARVEEN,10828.01,22565.31,135587.18
20 Jan 2025,20 Jan 2025,220750,Raast IBFT to OMAR ZAMAN,11806.75,9153.39,275581.71
04 Nov 2024,04 Nov 2024,,INET Inter Bank Fund Transfer Charges,7617.55,18566.95,384401.93
19 Dec 2024,19 Dec 2024,,INET Inter Bank Fund Transfer Charges,7720.3,5118.16,414850.26
05 Dec 2024,05 Dec 2024,,INET Inter Bank Fund Transfer Charges,4936.74,7850.03,375048.54
17 Dec 2024,17 Dec 2024,,INET Inter Bank Fund Transfer Charges,23677.36,11773.68,208085.91
31 Dec 2024,31 Dec 2024,,Raast IBFT to IQRA PARVEEN,6032.97,8283.31,403424.75
01 Dec 2024,01 Dec 2024,805850,INET Inter Bank Fund Transfer Charges,4594.5,2970.7,150992.57
22 Jan 2025,22 Jan 2025,710266,INET Inter Bank Fund Transfer Charges,24721.8,8591.42,392621.05
19 Jan 2025,19 Jan 2025,,INET Inter Bank Fund Transfer Charges,17467.82,10963.2,184904.12
09 Feb 2025,09 Feb 2025,373193,INET Inter Bank Fund Transfer Charges,19819.48,15801.83,237861.12
06 Feb 2025,06 Feb 2025,591402,Raast IBFT to IQRA PARVEEN,23791.76,23853.76,487268.56
10 Jan 2025,10 Jan 2025,,Raast IBFT to OMAR ZAMAN,10998.25,153.87,489489.53
07 Nov 2024,07 Nov 2024,,Raast IBFT to IQRA PARVEEN,18717.11,9366.97,137719.97
20 Dec 2024,20 Dec 2024,771970,Mobile App MARYAM BEGUM,13166.34,2093.76,203808.33
27 Nov 2024,27 Nov 2024,308883,Raast IBFT to IQRA PARVEEN,17772.13,20625.57,137326.97
