Date,Value Date,Instrument No.,Particulars,Debit,Credit,Balance
10 Dec 2024,10 Dec 2024,647746,Mobile App MARYAM BEGUM,11681.29,5787.3,461824.94
05 Nov 2024,05 Nov 2024,,Raast IBFT to IQRA PARVEEN,8842.13,10395.4,300096.99
22 Jan 2025,22 Jan 2025,,Mobile App MARYAM BEGUM,3596.95,15839.74,381661.69
06 Dec 2024,06 Dec 2024,,INET Inter Bank Fund Transfer Charges,4076.96,18733.6,292796.09
18 Jan 2025,18 Jan 2025,,INET Inter Bank Fund Transfer Charges,22817.32,390.53,111247.99
28 Nov 2024,28 Nov 2024,,Raast IBFT to IQRA PARVEEN,7458.42,24102.24,15463.55
19 Jan 2025,19 Jan 2025,,INET Inter Bank Fund Transfer Charges,9687.61,17605.39,186158.72
09 Dec 2024,09 Dec 2024,,Raast IBFT to OMAR ZAMAN,20973.15,3695.06,233442.9
26 Nov 2024,26 Nov 2024,110258,Raast IBFT to OMAR ZAMAN,14658.92,11889.56,133342.99
10 Jan 2025,10 Jan 2025,707837,Mobile App MARYAM BEGUM,11654.82,12588.45,377048.51
22 Dec 2024,22 Dec 2024,,Raast IBFT to IQRA PARVEEN,24479.92,12561.36,97068.37
03 Nov 2024,03 Nov 2024,454365,INET Inter Bank Fund Transfer Charges,3765.33,7868.87,405593.25
23 Dec 2024,23 Dec 2024,,INET Inter Bank Fund Transfer Charges,14991.7,22550.77,253661.47
17 Nov 2024,17 Nov 2024,,INET Inter Bank Fund Transfer Charges,8480.14,2275.72,52606.84
24 Dec 2024,24 Dec 2024,,Mobile App MARYAM BEGUM,1411.61,2939.65,111775.02
10 Jan 2025,10 Jan 2025,,Raast IBFT to OMAR ZAMAN,16707.53,10445.83,58204.52
09 Feb 2025,09 Feb 2025,,Raast IBFT to IQRA PARVEEN,9130.25,23133.75,144373.14
19 Jan 2025,19 Jan 2025,449508,Raast IBFT to OMAR ZAMAN,13814.69,1288.2,234721.19
29 Nov 2024,29 Nov 2024,,Mobile App MARYAM BEGUM,22777.44,18081.12,107004.61
05 Feb 2025,05 Feb 2025,502295,Raast IBFT to IQRA PARVEEN,13458.64,7910.51,133817.52
31 Dec 2024,31 Dec 2024,,Mobile App MARYAM BEGUM,13492.02,23517.84,81466.6
14 Nov 2024,14 Nov 2024,,INET Inter Bank Fund Transfer Charges,24852.53,15280.56,476175.94
01 Dec 2024,01 Dec 2024,644476,Raast IBFT to IQRA PARVEEN,17352.65,4388.95,333719.89
17 Dec 2024,17 Dec 2024,,Raast IBFT to IQRA PARVEEN,22049.8,7022.21,426538.45
03 Dec 2024,03 Dec 2024,,Raast IBFT to IQRA PARVEEN,13321.69,10377.44,398271.67
25 Jan 2025,25 Jan 2025,613875,Raast IBFT to OMAR ZAMAN,15911.08,24853.29,453778.68
23 Jan 2025,23 Jan 2025,196726,Mobile App MARYAM BEGUM,13436.9,11765.48,378030.17
09 Feb 2025,09 Feb 2025,,Mobile App MARYAM BEGUM,18020.92,12270.58,412427.75
15 Nov 2024,15 Nov 2024,,Raast IBFT to IQRA PARVEEN,8198.94,17139.32,155642.29
07 Jan 2025,07 Jan 2025,935849,Mobile App MARYAM BEGUM,22844.59,14949.95,87160.25
23 Dec 2024,23 Dec 2024,065383,Raast IBFT to IQRA PARVEEN,20395.87,18195.81,348312.7
11 Dec 2024,11 Dec 2024,662203,Mobile App MARYAM BEGUM,17723.1,18290.34,247941.55
20 Nov 2024,20 Nov 2024,133534,INET Inter Bank Fund Transfer Charges,13548.0,10026.51,417494.92
07 Feb 2025,07 Feb 2025,,Raast IBFT to OMAR ZAMAN,20511.54,3569.27,263807.78
26 Dec 2024,26 Dec 2024,,Raast IBFT to OMAR ZAMAN,2355.72,4806.08,214586.33
07 Jan 2025,07 Jan 2025,185319,Raast IBFT to IQRA PARVEEN,8408.15,18673.5,159850.11
09 Feb 2025,09 Feb 2025,865850,Mobile App MARYAM BEGUM,19365.74,16850.88,387299.01
17 Jan 2025,17 Jan 2025,,INET Inter Bank Fund Transfer Charges,6855.41,13022.06,44515.46
12 Dec 2024,12 Dec 2024,,INET Inter Bank Fund Transfer Charges,19935.8,4723.84,46753.76
07 Nov 2024,07 Nov 2024,,INET Inter Bank Fund Transfer Charges,14310.27,6108.53,245597.03
04 Jan 2025,04 Jan 2025,,INET Inter Bank Fund Transfer Charges,8488.53,24866.8,341608.73
31 Jan 2025,31 Jan 2025,451416,INET Inter Bank Fund Transfer Charges,17436.8,10240.45,194735.71
01 Dec 2024,01 Dec 2024,143664,INET Inter Bank Fund Transfer Charges,7453.82,17490.17,55157.9
29 Dec 2024,29 Dec 2024,,INET Inter Bank Fund Transfer Charges,13503.41,23411.95,149498.65
17 Nov 2024,17 Nov 2024,,INET Inter Bank Fund Transfer Charges,15127.28,15253.15,478320.72
13 Jan 2025,13 Jan 2025,,INET Inter Bank Fund Transfer Charges,17503.78,14492.2,78982.59
23 Nov 2024,23 Nov 2024,,INET Inter Bank Fund Transfer Charges,22469.42,23688.79,188702.66
06 Dec 2024,06 Dec 2024,,Raast IBFT to OMAR ZAMAN,12392.23,5406.07,437450.37
12 Dec 2024,12 Dec 2024,501613,Raast IBFT to IQRA PARVEEN,1514.94,7494.67,119757.46
16 Dec 2024,16 Dec 2024,,Raast IBFT to IQRA PARVEEN,6849.36,1143.85,485338.58
22 Nov 2024,22 Nov 2024,,Raast IBFT to OMAR ZAMAN,18091.32,11493.49,438671.43
03 Jan 2025,03 Jan 2025,,Mobile App MARYAM BEGUM,22275.78,21934.09,305490.46
01 Jan 2025,01 Jan 2025,358205,Raast IBFT to OMAR ZAMAN,4679.47,878.61,398367.21
10 Jan 2025,10 Jan 2025,,Raast IBFT to OMAR ZAMAN,6256.06,19961.3,181254.42
19 Jan 2025,19 Jan 2025,833976,Mobile App MARYAM BEGUM,17873.11,9080.58,365043.03
19 Jan 2025,19 Jan 2025,,Raast IBFT to OMAR ZAMAN,14374.24,6027.65,403967.17
21 Jan 2025,21 Jan 2025,,INET Inter Bank Fund Transfer Charges,9418.94,636.39,201960.55
06 Nov 2024,06 Nov 2024,205194,Mobile App MARYAM BEGUM,11991.18,7607.51,37295.46
22 Dec 2024,22 Dec 2024,,Raast IBFT to OMAR ZAMAN,21742.64,5302.06,128992.2
04 Dec 2024,04 Dec 2024,917329,Raast IBFT to IQRA PARVEEN,22593.83,3190.34,443863.08
01 Feb 2025,01 Feb 2025,639231,INET Inter Bank Fund Transfer Charges,17019.35,21556.96,160873.09
28 Jan 2025,28 Jan 2025,147995,Mobile App MARYAM BEGUM,21919.72,18607.88,476562.29
05 Nov 2024,05 Nov 2024,762760,Raast IBFT to OMAR ZAMAN,21406.52,3449.36,39584.62
08 Feb 2025,08 Feb 2025,,Raast IBFT to OMAR ZAMAN,16614.55,2065.01,138501.76
28 Dec 2024,28 Dec 2024,,Raast IBFT to OMAR ZAMAN,11562.53,24966.28,261380.72
11 Dec 2024,11 Dec 2024,,Raast IBFT to IQRA PARVEEN,17939.81,739.7,26855.69
29 Dec 2024,29 Dec 2024,,Mobile App MARYAM BEGUM,20618.97,19409.38,15342.73
18 Nov 2024,18 Nov 2024,463719,Mobile App MARYAM BEGUM,20510.38,23176.95,187214.89
25 Dec 2024,25 Dec 2024,,Raast IBFT to OMAR ZAMAN,10997.31,14038.29,142660.23
20 Jan 2025,20 Jan 2025,822172,Mobile App MARYAM BEGUM,10649.05,24569.02,108613.15
21 Nov 2024,21 Nov 2024,580921,INET Inter Bank Fund Transfer Charges,14386.43,24011.93,201881.2
09 Jan 2025,09 Jan 2025,,INET Inter Bank Fund Transfer Charges,23505.58,14143.11,233928.51
24 Jan 2025,24 Jan 2025,,Raast IBFT to OMAR ZAMAN,6030.65,9209.6,174543.83
13 Dec 2024,13 Dec 2024,,INET Inter Bank Fund Transfer Charges,18093.95,15497.3,142404.08
21 Jan 2025,21 Jan 2025,465913,INET Inter Bank Fund Transfer Charges,7747.11,21556.75,498324.88
09 Feb 2025,09 Feb 2025,460593,Mobile App MARYAM BEGUM,11014.97,5827.93,414903.42
20 Dec 2024,20 Dec 2024,,Raast IBFT to OMAR ZAMAN,19726.81,3738.54,489928.99
08 Feb 2025,08 Feb 2025,,INET Inter Bank Fund Transfer Charges,9033.93,19125.44,44831.33
04 Dec 2024,04 Dec 2024,215670,Raast IBFT to OMAR ZAMAN,16680.88,10543.07,268811.19
11 Dec 2024,11 Dec 2024,,Raast IBFT to OMAR ZAMAN,18919.58,11336.79,141878.48
03 Nov 2024,03 Nov 2024,,Mobile App MARYAM BEGUM,13326.85,475.25,94474.85
25 Dec 2024,25 Dec 2024,898006,Mobile App MARYAM BEGUM,23574.07,1402.24,483261.62
07 Jan 2025,07 Jan 2025,,Raast IBFT to OMAR ZAMAN,24967.05,10232.3,186144.6
15 Nov 2024,15 Nov 2024,,Raast IBFT to OMAR ZAMAN,16054.6,19756.39,452904.9
24 Jan 2025,24 Jan 2025,,Mobile App MARYAM BEGUM,11429.66,14533.99,336052.33
06 Dec 2024,06 Dec 2024,,Mobile App MARYAM BEGUM,16046.12,15770.03,181600.92
23 Jan 2025,23 Jan 2025,,Mobile App MARYAM BEGUM,11307.7,5465.89,374290.65
10 Nov 2024,10 Nov 2024,980822,Mobile App MARYAM BEGUM,18988.61,7138.37,240420.24
11 Dec 2024,11 Dec 2024,,Raast IBFT to IQRA PARVEEN,9866.12,684.62,110665.06
27 Dec 2024,27 Dec 2024,708406,Raast IBFT to IQRA PARVEEN,24529.06,842.82,318326.77
24 Dec 2024,24 Dec 2024,,INET Inter Bank Fund Transfer Charges,14802.12,12428.33,380479.7
